true,pred,probs,n_preds,entropy,alleotoric_entropy,info_gain
4,6,0.36920998,5,1.4576612,0.6010565,0.85660464
34,24,0.89220315,2,0.34195998,0.03977118,0.3021888
10,32,0.88648075,1,0.5852711,0.41557288,0.16969824
19,21,0.24757414,5,2.295307,1.3299658,0.9653411
2,2,0.6265554,2,1.2790629,0.72362316,0.5554397
26,26,0.93564,1,0.31355542,0.1977162,0.11583921
4,4,0.94874763,1,0.2217562,0.14594993,0.075806275
2,2,0.68737805,2,0.8143046,0.38039422,0.43391037
24,24,0.99999964,1,5.517948e-06,4.804066e-06,7.1388195e-07
31,32,0.74927324,2,0.98914695,0.54169905,0.4474479
28,28,0.99997056,1,0.00042210665,0.00037090582,5.1200826e-05
19,19,0.9976822,1,0.020261964,0.016693067,0.003568897
10,10,0.91705656,1,0.5117461,0.39697877,0.11476734
8,4,0.7341363,3,0.9400232,0.5302328,0.4097904
11,11,0.99952775,1,0.0051878868,0.004442365,0.00074552186
2,2,0.9997658,1,0.002371908,0.0018546314,0.0005172766
2,2,0.99999964,1,6.661676e-06,6.020532e-06,6.4114374e-07
1,32,0.99145126,1,0.062745474,0.048284605,0.014460869
3,13,0.38746047,3,1.4478763,0.7994484,0.64842796
24,24,0.9869315,1,0.07923706,0.056493133,0.022743925
29,29,0.9784137,1,0.13922322,0.1046409,0.034582317
29,29,0.58959955,3,1.0944288,0.5547095,0.5397193
24,24,0.8894205,2,0.40378264,0.16493797,0.23884466
13,13,0.99999756,1,3.8022223e-05,3.3427525e-05,4.594698e-06
26,16,0.45842004,3,1.2235548,0.3481251,0.87542975
25,25,0.9938345,1,0.043751135,0.032576073,0.0111750625
4,4,0.993072,1,0.049851507,0.03830745,0.011544056
26,26,0.9721697,1,0.15429385,0.10299202,0.05130183
32,32,0.99998885,1,0.00016067518,0.00013743158,2.32436e-05
24,24,0.8462171,2,0.46063283,0.18828881,0.27234402
24,36,0.7376942,3,0.879916,0.40258226,0.47733375
2,2,1.0,1,8.9405876e-07,8.386557e-07,5.5403063e-08
25,34,0.68016815,2,0.6960521,0.33443362,0.36161846
26,26,0.74124515,3,1.0293648,0.5788447,0.4505201
24,24,0.3645043,4,1.5328648,0.95830977,0.57455504
0,0,0.78343534,1,0.852402,0.60745287,0.2449491
24,24,0.9988319,1,0.0111613665,0.008743034,0.0024183327
19,19,0.9999655,1,0.00040852692,0.00034417678,6.435014e-05
2,2,0.99988025,1,0.0013912524,0.0011537404,0.00023751194
2,28,0.962587,1,0.22711712,0.17141117,0.05570595
8,4,0.68103963,2,0.8084731,0.3069076,0.5015655
26,26,0.9107564,1,0.38274342,0.22441122,0.1583322
25,9,0.72205406,3,0.90412515,0.24888344,0.6552417
2,2,0.9999962,1,5.638365e-05,5.066758e-05,5.7160723e-06
26,26,0.98749954,1,0.0788177,0.051003475,0.027814228
32,32,0.86703044,1,0.58220726,0.40611243,0.17609483
25,36,0.7252099,3,0.90479124,0.45254332,0.45224792
24,24,0.89660454,2,0.5819244,0.31222513,0.26969925
2,2,0.9995613,1,0.0042234194,0.0033965248,0.00082689454
